title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Opel Vivaro Combi 9 1.6cdti Biturbo S-s 29 L2 Plus 125,12.389€,2018,88.500 km,125 cv en Pontevedra,Manual,4 puertas,9,125 cv,Blanco,149 gr/m,Diesel,SÍ,Profesional,Combi,195 cm,540 cm,196 cm,0 l,169 km/h,"6,4 l","5,3 l","5,7 l",1.976 kg,80 l,"0,0 s"
"Fiat Talento Combi 1.6 Ecojet Tt Sx L 1,2 M1 107kw",16.488€,2018,52.046 km,145 cv en Sevilla,Manual,4 puertas,9,145 cv,Verde,152 gr/m,Diesel,SÍ,Profesional,Combi,197 cm,540 cm,196 cm,0 l,177 km/h,"6,6 l","5,4 l","5,9 l",1.854 kg,80 l,"0,0 s"
Mercedes Vito Tourer 114 Cdi Pro Larga,27.900€,2019,46.500 km,136 cv en Soria,Manual,4 puertas,8,136 cv,Azul,168 gr/m,Diesel,SÍ,Profesional,Combi,189 cm,514 cm,193 cm,0 l,0 km/h,"8,1 l","5,4 l","6,4 l",1.976 kg,57 l,"0,0 s"
Ford Transit Courier Van 1.0 Ecob. Trend,8.636€,2018,7.733 km,100 cv en Sevilla,Manual,4 puertas,2,100 cv,Blanco,120 gr/m,Gasolina,SÍ,Profesional,Furgon,175 cm,416 cm,198 cm,0 l,173 km/h,"6,8 l","4,7 l","5,4 l",1.185 kg,47 l,"12,3 s"
Citroen Berlingo Multispace 1.6hdi Live Ed.75 N1,6.490€,2016,216.000 km,75 cv en Valencia,Manual,4 puertas,5,75 cv,Blanco,139 gr/m,Diesel,SÍ,Profesional,Combi,180 cm,438 cm,181 cm,678 l,148 km/h,"6,4 l","5,0 l","5,5 l",1.539 kg,60 l,"17,1 s"
Ford Transit Kombi Ambiente 100,8.995€,01/2016,57.240 km,"100 cv en Coruña, A",Manual,4 puertas,9,100 cv,Blanco,189 gr/m,Diesel,SÍ,Profesional,Combi,249 cm,553 cm,206 cm,0 l,0 km/h,"7,8 l","6,2 l","6,8 l",2.220 kg,80 l,"0,0 s"
"Fiat Talento Combi 1.6 Ecojet Tt Sx L 1,2 M1 107kw",16.488€,2018,43.707 km,145 cv en Sevilla,Manual,4 puertas,9,145 cv,Verde,152 gr/m,Diesel,SÍ,Profesional,Combi,197 cm,540 cm,196 cm,0 l,177 km/h,"6,6 l","5,4 l","5,9 l",1.854 kg,80 l,"0,0 s"
Citroen Jumpy Combi Bluehdi Talla M Confort 120 S&s,22.430€,01/2020,NUEVO,120 cv en Toledo,Manual,4 puertas,9,120 cv,Gris artense,128 gr/m,Diesel,SÍ,Profesional,Combi,189 cm,496 cm,192 cm,507 l,160 km/h,"5,2 l","4,6 l","4,8 l",2.040 kg,69 l,"13,4 s"
Mercedes Sprinter Chasis Cabina 316cdi Medio Tt,28.000€,2021,7 km,163 cv en Girona,Manual,2 puertas,3,163 cv,Blanco,215 gr/m,Diesel,SÍ,Profesional,Chasis,230 cm,589 cm,218 cm,0 l,0 km/h,"0,0 l","0,0 l","8,2 l",1.745 kg,65 l,"0,0 s"
Peugeot Boxer Combi 2.2bluehdi 330 L1h1 120,15.990€,2020,19.000 km,120 cv en Barcelona,Manual,4 puertas,6,120 cv,Blanco,158 gr/m,Diesel,SÍ,Profesional,Combi,225 cm,496 cm,205 cm,0 l,0 km/h,"6,2 l","5,6 l","5,9 l",2.010 kg,90 l,"0,0 s"
