title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Mercedes Clase B B 180cdi Autotronic,8.500€,02/2011,179.000 km,109 cv en Madrid,"Automática continua, secuencial",5 puertas,5,109 cv,Blanco,151 gr/m,Diesel,SÍ,Profesional,Monovolumen,160 cm,427 cm,178 cm,550 l,183 km/h,"7,2 l","4,6 l","5,6 l",1.435 kg,54 l,"11,3 s"
Mercedes Clase B B 200d,18.500€,2016,69.000 km,136 cv en Burgos,Manual,5 puertas,5,136 cv,Blanco,109 gr/m,Diesel,No,Particular,Monovolumen,156 cm,439 cm,179 cm,488 l,210 km/h,"5,3 l","3,5 l","4,2 l",1.485 kg,50 l,"9,4 s"
Volkswagen Touran 1.6tdi Cr Bmt Advance 85kw,17.600€,2017,33.000 km,115 cv en Barcelona,Manual,5 puertas,7,115 cv,Blanco,120 gr/m,Diesel,No,Particular,Monovolumen,166 cm,453 cm,183 cm,137 l,190 km/h,"5,3 l","4,1 l","4,5 l",1.539 kg,58 l,"11,4 s"
Mercedes Clase B B 180cdi Sport Edition,4.500€,2009,265.000 km,109 cv en Barcelona,Manual,5 puertas,5,109 cv,Blanco,137 gr/m,Diesel,No,Particular,Monovolumen,160 cm,427 cm,178 cm,550 l,183 km/h,"7,2 l","4,6 l","5,2 l",1.435 kg,54 l,"11,3 s"
Kia Carens 1.7crdi Vgt Eco-dynamics Drive,14.800€,2017,28.600 km,115 cv en Leon,Manual,5 puertas,5,115 cv,Blanco,109 gr/m,Diesel,No,Particular,Monovolumen,161 cm,453 cm,181 cm,536 l,178 km/h,"4,7 l","3,9 l","4,2 l",1.482 kg,58 l,"13,2 s"
Peugeot 5008 1.6hdi Sport Pack Cmp,5.999€,06/2010,208.000 km,110 cv en Burgos,Manual automatizada,5 puertas,5,110 cv,Azul,140 gr/m,Diesel,SÍ,Profesional,Monovolumen,164 cm,453 cm,184 cm,679 l,183 km/h,"6,4 l","4,8 l","5,3 l",1.473 kg,60 l,"12,5 s"
Chevrolet Orlando 2.0vcdi Lt,7.000€,2011,106.000 km,130 cv en Barcelona,Manual,5 puertas,7,130 cv,Blanco,157 gr/m,Diesel,No,Particular,Monovolumen,163 cm,465 cm,184 cm,454 l,180 km/h,"7,7 l","4,9 l","6,0 l",1.655 kg,64 l,"10,3 s"
Mercedes Clase B B 200d 7g-dct,20.995€,06/2018,30.106 km,136 cv en Valencia,Automática secuencial,5 puertas,5,136 cv,,104 gr/m,Diesel,SÍ,Profesional,Monovolumen,156 cm,439 cm,179 cm,488 l,210 km/h,"4,7 l","3,5 l","4,0 l",1.505 kg,50 l,"8,9 s"
Ford Focus C-max Focus C-max 2.0 Ghia,2.900€,2007,210.000 km,145 cv en Madrid,Manual,5 puertas,5,145 cv,Gris,176 gr/m,Gasolina,No,Particular,Monovolumen,156 cm,433 cm,183 cm,0 l,0 km/h,"11,6 l","5,9 l","8,0 l",1.415 kg,55 l,"9,8 s"
Opel Zafira 1.6cdti S-s Excellence 134 (4.75),18.000€,2018,18.000 km,134 cv en Cadiz,Manual,5 puertas,7,134 cv,Blanco,125 gr/m,Diesel,No,Particular,Monovolumen,166 cm,467 cm,188 cm,152 l,193 km/h,"4,6 l","3,8 l","4,1 l",1.701 kg,58 l,"11,2 s"
Ford C-max C-max 1.0 Ecoboost Auto-s&s Business 125,11.990€,07/2018,74.190 km,125 cv en Albacete,Manual,5 puertas,5,125 cv,Azul,129 gr/m,Gasolina,SÍ,Profesional,Monovolumen,161 cm,438 cm,183 cm,471 l,187 km/h,"6,2 l","4,5 l","5,1 l",1.316 kg,55 l,"11,4 s"
Kia Carens 1.7crdi Concept 115,5.500€,05/2014,295.000 km,115 cv en Malaga,Manual,5 puertas,5,115 cv,Blanco,129 gr/m,Diesel,SÍ,Profesional,Monovolumen,161 cm,453 cm,181 cm,536 l,181 km/h,"6,1 l","4,3 l","4,9 l",1.482 kg,58 l,"13,0 s"
Mitsubishi Grandis 2.0di-d Intense Plus,5.950€,06/2010,204.000 km,136 cv en Madrid,Manual,5 puertas,7,136 cv,Gris,175 gr/m,Diesel,SÍ,Profesional,Monovolumen,166 cm,477 cm,180 cm,320 l,195 km/h,"8,4 l","5,6 l","6,6 l",1.710 kg,65 l,"10,8 s"
Renault Scénic Ii 1.6 Confort Dynamique,2.200€,2004,117.000 km,115 cv en Jaen,Manual,5 puertas,5,115 cv,Rojo,0 gr/m,Gasolina,No,Particular,Monovolumen,162 cm,426 cm,181 cm,0 l,185 km/h,"9,3 l","6,0 l","7,2 l",1.320 kg,60 l,"12,5 s"
Citroen C4 Picasso 1.6hdi Exclusive Cmp,5.900€,09/2009,158.000 km,"110 cv en Rioja, La",Manual automatizada,5 puertas,5,110 cv,Azul,142 gr/m,Diesel,SÍ,Profesional,Monovolumen,166 cm,447 cm,183 cm,500 l,180 km/h,"6,5 l","4,8 l","5,4 l",1.499 kg,60 l,"13,2 s"
Citroen C3 Picasso 1.2 Puretech Feel Edition 110,8.800€,05/2016,124.000 km,110 cv en Barcelona,Manual,5 puertas,5,110 cv,Gris,115 gr/m,Gasolina,SÍ,Profesional,Monovolumen,163 cm,410 cm,177 cm,300 l,186 km/h,"6,4 l","4,2 l","5,0 l",1.205 kg,50 l,"10,7 s"
Volkswagen Touran 2.0tdi Traveller,10.900€,2008,122.000 km,140 cv en Barcelona,Manual,5 puertas,5,140 cv,Granate,159 gr/m,Diesel,SÍ,Profesional,Monovolumen,164 cm,441 cm,179 cm,695 l,200 km/h,"7,6 l","5,2 l","6,0 l",1.633 kg,60 l,"10,2 s"
