title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Bmw Serie 3 318da Touring,9.900€,2009,143.000 km,143 cv en Vizcaya,Automática secuencial,5 puertas,5,143 cv,Gris,142 gr/m,Diesel,SÍ,Profesional,Stationwagon,142 cm,453 cm,182 cm,460 l,210 km/h,"6,9 l","4,5 l","5,4 l",1.595 kg,61 l,"9,6 s"
Volkswagen Passat Variant 2.0tdi Advance 110kw,13.990€,2015,128.500 km,150 cv en Sevilla,Manual,5 puertas,5,150 cv,Gris,114 gr/m,Diesel,SÍ,Profesional,Stationwagon,148 cm,477 cm,183 cm,650 l,218 km/h,"4,8 l","3,7 l","4,3 l",1.505 kg,66 l,"8,9 s"
Mercedes Clase Cla Cla Shooting Brake 220d 8g-dct,48.630€,2019,1 km,190 cv en Madrid,Automática secuencial,5 puertas,5,190 cv,Gris,116 gr/m,Diesel,SÍ,Profesional,Stationwagon,145 cm,469 cm,183 cm,495 l,237 km/h,"5,7 l","3,1 l","4,4 l",1.585 kg,51 l,"7,2 s"
Opel Astra St 1.4t Dynamic 125,15.800€,11/2019,6 km,125 cv en Valencia,Manual,5 puertas,5,125 cv,Blanco,136 gr/m,Gasolina,SÍ,Profesional,Stationwagon,150 cm,470 cm,181 cm,540 l,0 km/h,"6,3 l","4,3 l","5,1 l",1.273 kg,48 l,"0,0 s"
Volkswagen Passat Variant 2.0 Tsi R-line Dsg7,32.750€,10/2019,2.652 km,190 cv en Zaragoza,Automática secuencial,5 puertas,5,190 cv,Azul,143 gr/m,Gasolina,SÍ,Profesional,Stationwagon,152 cm,489 cm,183 cm,639 l,232 km/h,"8,4 l","5,3 l","6,2 l",1.570 kg,66 l,"7,7 s"
Bmw Serie 3 318da Touring Essential Edition,13.490€,2015,168.000 km,143 cv en Salamanca,Manual,5 puertas,5,143 cv,Gris,123 gr/m,Diesel,SÍ,Profesional,Stationwagon,143 cm,462 cm,181 cm,495 l,210 km/h,"5,7 l","4,1 l","4,7 l",1.570 kg,57 l,"9,2 s"
Opel Astra Sw 1.7cdti Enjoy,1.900€,03/2006,289.800 km,100 cv,Manual,5 puertas,5,100 cv,Gris,0 gr/m,Diesel,SÍ,Profesional,Stationwagon,150 cm,452 cm,179 cm,505 l,180 km/h,"6,5 l","4,3 l","5,1 l",1.393 kg,52 l,"12,5 s"
Seat León St 1.6tdi Cr S&s Style 105,8.990€,2013,150.000 km,105 cv en Sevilla,Manual,5 puertas,5,105 cv,Gris,99 gr/m,Diesel,SÍ,Profesional,Stationwagon,145 cm,454 cm,182 cm,587 l,191 km/h,"4,6 l","3,3 l","3,8 l",1.331 kg,50 l,"11,1 s"
Peugeot 308 Sw 1.6 Bluehdi Access 100,6.590€,2015,181.700 km,100 cv en Guipuzcoa,Manual,5 puertas,5,100 cv,Blanco,94 gr/m,Diesel,SÍ,Profesional,Stationwagon,146 cm,459 cm,180 cm,610 l,184 km/h,"4,3 l","3,2 l","3,6 l",1.275 kg,53 l,"11,8 s"
Peugeot 308 Sw 1.6e-hdi Allure 115,10.990€,2014,88.500 km,115 cv en Guipuzcoa,Manual,5 puertas,5,115 cv,Gris,100 gr/m,Diesel,SÍ,Profesional,Stationwagon,146 cm,459 cm,180 cm,610 l,193 km/h,"4,4 l","3,5 l","3,8 l",1.275 kg,53 l,"11,3 s"
Mercedes Clase C C Estate 200cdi Be Elegance,13.990€,2012,128.000 km,136 cv en Guipuzcoa,Manual,5 puertas,5,136 cv,Gris,127 gr/m,Diesel,SÍ,Profesional,Stationwagon,146 cm,461 cm,177 cm,485 l,209 km/h,"6,0 l","4,1 l","4,8 l",1.615 kg,59 l,"9,6 s"
Volkswagen Passat Variant 2.0tdi Evo Executive Dgs7 110kw,29.900€,10/2019,25 km,150 cv en Almeria,Automática secuencial,5 puertas,5,150 cv,Plateado,106 gr/m,Diesel,SÍ,Profesional,Stationwagon,152 cm,489 cm,183 cm,639 l,232 km/h,"4,6 l","3,9 l","4,0 l",1.600 kg,66 l,"8,1 s"
Toyota Avensis Ts 150d Advance,13.990€,2016,130.000 km,143 cv en Sevilla,Manual,5 puertas,5,143 cv,Gris,120 gr/m,Diesel,SÍ,Profesional,Stationwagon,148 cm,482 cm,181 cm,543 l,200 km/h,"5,7 l","4,0 l","4,6 l",1.609 kg,60 l,"9,8 s"
Peugeot 308 Sw 2.0hdi Fap Active,5.999€,2012,223.000 km,150 cv en Malaga,Manual,5 puertas,5,150 cv,Blanco,139 gr/m,Diesel,SÍ,Profesional,Stationwagon,156 cm,450 cm,182 cm,600 l,205 km/h,"6,9 l","4,4 l","5,3 l",1.575 kg,60 l,"9,8 s"
Bmw Serie 5 520da Touring,16.900€,2016,169.000 km,190 cv en Madrid,Automática secuencial,5 puertas,5,190 cv,Negro,118 gr/m,Diesel,SÍ,Profesional,Stationwagon,146 cm,491 cm,186 cm,560 l,226 km/h,"5,2 l","4,1 l","4,5 l",1.735 kg,70 l,"8,0 s"
Bmw Serie 3 318da Touring (0.0),13.200€,01/2014,125.000 km,143 cv en Vizcaya,Automática secuencial,5 puertas,5,143 cv,Blanco,119 gr/m,Diesel,SÍ,Profesional,Stationwagon,143 cm,462 cm,181 cm,495 l,210 km/h,"5,5 l","4,0 l","4,5 l",1.570 kg,57 l,"9,2 s"
Skoda Superb Combi 2.0tdi Cr Ambition,7.990€,2011,169.306 km,140 cv en Madrid,Manual,5 puertas,5,140 cv,Oro,145 gr/m,Diesel,SÍ,Profesional,Stationwagon,151 cm,484 cm,182 cm,633 l,205 km/h,"7,7 l","5,1 l","6,1 l",1.644 kg,60 l,"10,3 s"
Peugeot 308 Sw 1.6e-hdi Active 115,7.450€,2014,142.971 km,115 cv en Madrid,Manual,5 puertas,5,115 cv,Negro,98 gr/m,Diesel,SÍ,Profesional,Stationwagon,146 cm,459 cm,180 cm,610 l,193 km/h,"4,2 l","3,3 l","3,7 l",1.275 kg,53 l,"11,3 s"
Mercedes Clase C C Estate 220d 9g-tronic (4.75),25.900€,2016,33.000 km,170 cv en Barcelona,Automática secuencial,5 puertas,5,170 cv,Gris,127 gr/m,Diesel,SÍ,Profesional,Stationwagon,146 cm,470 cm,181 cm,470 l,231 km/h,"5,9 l","4,4 l","5,0 l",1.615 kg,66 l,"7,5 s"
Ford Focus Sb. 1.5tdci Trend+ 120,9.990€,2016,74.700 km,120 cv en Valencia,Manual,5 puertas,5,120 cv,Blanco,105 gr/m,Diesel,SÍ,Profesional,Stationwagon,149 cm,456 cm,182 cm,490 l,0 km/h,"4,3 l","3,4 l","3,8 l",1.293 kg,53 l,"10,7 s"
Opel Astra St 1.6cdti Excellence Aut. 136,15.900€,2017,20.108 km,136 cv en Illes Balears,Automática secuencial,5 puertas,5,136 cv,Negro,119 gr/m,Diesel,SÍ,Profesional,Stationwagon,150 cm,470 cm,181 cm,540 l,0 km/h,"5,6 l","3,8 l","4,5 l",1.273 kg,48 l,"0,0 s"
Opel Insignia St 2.0cdti S&s Excellence 170,25.990€,2018,48 km,170 cv en Illes Balears,Manual,5 puertas,5,170 cv,Gris,139 gr/m,Diesel,SÍ,Profesional,Stationwagon,150 cm,499 cm,186 cm,560 l,223 km/h,"6,9 l","4,3 l","5,3 l",1.487 kg,62 l,"8,9 s"
Opel Astra St 1.6cdti S-s Excellence 136,15.490€,2018,16.749 km,136 cv en Illes Balears,Manual,5 puertas,5,136 cv,Gris,104 gr/m,Diesel,SÍ,Profesional,Stationwagon,150 cm,470 cm,181 cm,540 l,0 km/h,"5,7 l","3,5 l","3,9 l",1.273 kg,48 l,"0,0 s"
Opel Insignia St 2.0cdti S&s Excellence 4x4 170,11.900€,2018,99.500 km,170 cv en Murcia,Automática,5 puertas,5,170 cv,Gris,166 gr/m,Diesel,SÍ,Profesional,Stationwagon,150 cm,499 cm,186 cm,560 l,223 km/h,"6,9 l","4,3 l","5,3 l",1.487 kg,62 l,"8,9 s"
Volkswagen Passat Variant 2.0tdi Evo Executive Dgs7 110kw,31.679€,01/2020,14.500 km,150 cv en Badajoz,Automática secuencial,5 puertas,5,150 cv,Gris plata,106 gr/m,Diesel,SÍ,Profesional,Stationwagon,152 cm,489 cm,183 cm,639 l,232 km/h,"4,6 l","3,9 l","4,0 l",1.600 kg,66 l,"8,1 s"
Mercedes Clase Cls Cls Shooting Brake 250cdi Be Aut.,19.900€,07/2013,141.999 km,204 cv en Malaga,Automática secuencial,5 puertas,5,204 cv,Naranja,139 gr/m,Diesel,SÍ,Profesional,Stationwagon,142 cm,496 cm,188 cm,590 l,235 km/h,"6,4 l","4,7 l","5,3 l",1.865 kg,59 l,"7,8 s"
Renault Mégane S.t. 1.3 Tce Gpf Zen 103kw (4.75),15.400€,2019,20.600 km,140 cv en Illes Balears,Manual,5 puertas,5,140 cv,Beige,125 gr/m,Gasolina,SÍ,Profesional,Stationwagon,145 cm,463 cm,181 cm,521 l,205 km/h,"6,6 l","4,7 l","5,4 l",1.287 kg,50 l,"10,0 s"
Audi A4 Avant 2.0tdi S Tronic 110kw,26.500€,2018,17.000 km,150 cv en Cadiz,Automática secuencial,5 puertas,5,150 cv,Blanco,106 gr/m,Diesel,SÍ,Profesional,Stationwagon,143 cm,473 cm,184 cm,505 l,215 km/h,"5,0 l","3,8 l","4,1 l",1.550 kg,40 l,"9,2 s"
Seat León St 1.6tdi Cr S&s Style 115,15.900€,05/2019,8.780 km,115 cv en Barcelona,Manual,5 puertas,5,115 cv,Blanco,102 gr/m,Diesel,SÍ,Profesional,Stationwagon,145 cm,455 cm,182 cm,587 l,194 km/h,"4,6 l","3,5 l","3,9 l",1.352 kg,50 l,"10,6 s"
Volkswagen Passat Variant 2.0tdi Edition 110kw,13.500€,2017,159.000 km,150 cv en Madrid,Manual,5 puertas,5,150 cv,Negro,114 gr/m,Diesel,SÍ,Profesional,Stationwagon,148 cm,477 cm,183 cm,650 l,218 km/h,"4,8 l","3,7 l","4,3 l",1.505 kg,66 l,"8,9 s"
Subaru Outback 2.5i Sport Cvt,33.990€,09/2020,20 km,175 cv en Pontevedra,"Automática continua, secuencial",5 puertas,5,175 cv,Blanco,161 gr/m,Gasolina,SÍ,Profesional,Stationwagon,161 cm,482 cm,184 cm,512 l,198 km/h,"8,7 l","6,0 l","7,0 l",1.582 kg,60 l,"10,2 s"
Ford Focus Sportbreak 1.0 Ecoboost Trend Edition,11.290€,12/2018,30.000 km,125 cv en Valencia,Manual,5 puertas,5,125 cv,Gris / plata,108 gr/m,Gasolina,SÍ,Profesional,Stationwagon,147 cm,467 cm,183 cm,541 l,0 km/h,"5,8 l","4,2 l","4,8 l",1.241 kg,52 l,"11,2 s"
Bmw Serie 5 M550da Touring Xdrive,33.900€,2014,115.000 km,381 cv en Asturias,Automática secuencial,5 puertas,5,381 cv,Negro,166 gr/m,Diesel,SÍ,Profesional,Stationwagon,146 cm,491 cm,186 cm,560 l,250 km/h,"7,7 l","5,5 l","6,3 l",1.990 kg,70 l,"4,9 s"
Kia Ceed Cee´d Sw 1.6crdi Vgt Concept Plus 110,10.700€,2017,74.167 km,110 cv en Sevilla,Manual,5 puertas,5,110 cv,Blanco,104 gr/m,Diesel,SÍ,Profesional,Stationwagon,149 cm,451 cm,178 cm,528 l,188 km/h,"4,7 l","3,6 l","4,0 l",1.314 kg,53 l,"11,5 s"
Renault Mégane S.t. 1.5dci Blue Zen 85kw,16.950€,2020,9.475 km,115 cv en Barcelona,Manual,5 puertas,5,115 cv,Gris,104 gr/m,Diesel,SÍ,Profesional,Stationwagon,145 cm,463 cm,181 cm,521 l,193 km/h,"4,7 l","3,5 l","3,9 l",1.367 kg,45 l,"11,4 s"
Opel Insignia St 2.0cdti S&s Excellence Aut. 170,13.495€,2018,91.870 km,170 cv en Valencia,Automática secuencial,5 puertas,5,170 cv,Gris,148 gr/m,Diesel,SÍ,Profesional,Stationwagon,150 cm,499 cm,186 cm,560 l,223 km/h,"6,7 l","4,3 l","5,2 l",1.487 kg,62 l,"8,9 s"
Ford Focus Sportbreak 1.0 Ecoboost Active,17.500€,2020,NUEVO,125 cv en Madrid,Manual,5 puertas,5,125 cv,Azul,101 gr/m,Gasolina,SÍ,Profesional,Stationwagon,147 cm,467 cm,183 cm,541 l,0 km/h,"5,8 l","4,2 l","4,9 l",1.241 kg,52 l,"11,2 s"
Fiat Tipo Sw 1.4 Pop,11.900€,11/2019,5.500 km,95 cv en Sevilla,Manual,5 puertas,5,95 cv,Blanco gelato (sólido),132 gr/m,Gasolina,SÍ,Profesional,Stationwagon,151 cm,457 cm,179 cm,550 l,182 km/h,"7,8 l","5,7 l","6,5 l",1.205 kg,50 l,"12,6 s"
Bmw Serie 3 335d Touring Aut.,12.900€,2007,210.000 km,286 cv en Lugo,Automática secuencial,5 puertas,5,286 cv,Negro,178 gr/m,Diesel,SÍ,Profesional,Stationwagon,142 cm,452 cm,182 cm,450 l,250 km/h,"9,2 l","5,4 l","6,8 l",1.740 kg,61 l,"6,3 s"
Mini Mini Clubman Cooper D Aut.,17.500€,11/2015,114.000 km,150 cv en Huelva,Automática secuencial,5 puertas,5,150 cv,Granate,109 gr/m,Diesel,SÍ,Profesional,Stationwagon,144 cm,425 cm,180 cm,360 l,212 km/h,"4,7 l","3,8 l","4,1 l",1.360 kg,48 l,"8,5 s"
Mercedes Clase C C Familiar 270 Cdi Classic,5.499€,2002,366.200 km,170 cv en Lugo,Manual,5 puertas,5,170 cv,Gris,0 gr/m,Diesel,SÍ,Profesional,Stationwagon,147 cm,454 cm,173 cm,0 l,0 km/h,"9,4 l","5,4 l","6,9 l",1.585 kg,0 l,"9,3 s"
Bmw Serie 3 325d Touring Sport,16.990€,2015,150.000 km,218 cv en Madrid,Automática,5 puertas,5,218 cv,Azul,134 gr/m,Diesel,SÍ,Profesional,Stationwagon,143 cm,462 cm,181 cm,495 l,238 km/h,"6,4 l","4,3 l","5,1 l",1.540 kg,57 l,"6,9 s"
Volvo V60 D3 Momentum,24.886€,03/2019,10.000 km,150 cv en Illes Balears,Manual,5 puertas,5,150 cv,Gris,117 gr/m,Diesel,SÍ,Profesional,Stationwagon,142 cm,476 cm,185 cm,658 l,205 km/h,"5,3 l","3,9 l","4,4 l",1.690 kg,55 l,"9,9 s"
Fiat Tipo Sw 1.6 Multijet Ii Easy,10.500€,06/2008,39.000 km,120 cv en Barcelona,Manual,5 puertas,5,120 cv,Gris mtl,98 gr/m,Diesel,SÍ,Profesional,Stationwagon,151 cm,457 cm,179 cm,550 l,200 km/h,"4,4 l","3,3 l","3,7 l",1.320 kg,50 l,"10,1 s"
Skoda Octavia Combi 1.6tdi Cr Ambition 110,13.990€,2017,41.000 km,110 cv en Cadiz,Manual,5 puertas,5,110 cv,Marrón,99 gr/m,Diesel,SÍ,Profesional,Stationwagon,147 cm,466 cm,181 cm,610 l,194 km/h,"4,4 l","3,4 l","3,8 l",1.327 kg,50 l,"10,8 s"
Volkswagen Passat Variant 2.0tdi Highline Dsg 170,7.999€,2007,162.500 km,170 cv en Granada,Automática secuencial,5 puertas,5,170 cv,Negro,177 gr/m,Diesel,SÍ,Profesional,Stationwagon,152 cm,477 cm,182 cm,603 l,217 km/h,"8,6 l","5,5 l","6,6 l",1.534 kg,70 l,"8,8 s"
Opel Astra St 1.6cdti S-s Excellence 136,9.500€,07/2015,123.000 km,136 cv en Teruel,Manual,5 puertas,5,136 cv,Blanco,104 gr/m,Diesel,SÍ,Profesional,Stationwagon,154 cm,470 cm,181 cm,500 l,200 km/h,"4,6 l","3,6 l","3,9 l",1.503 kg,56 l,"10,3 s"
Mercedes Clase Cla Cla Shooting Brake 200cdi Amg Line,18.000€,2015,130.000 km,136 cv en Salamanca,Automática,5 puertas,5,136 cv,Rojo,111 gr/m,Diesel,SÍ,Profesional,Stationwagon,144 cm,463 cm,178 cm,495 l,220 km/h,"5,4 l","3,6 l","4,3 l",1.530 kg,50 l,"9,5 s"
Peugeot 308 Sw 1.2 Puretech S&s Allure 130,15.900€,01/2019,11.933 km,130 cv en Barcelona,Manual,5 puertas,5,130 cv,Gris artense,123 gr/m,Gasolina,SÍ,Profesional,Stationwagon,147 cm,459 cm,180 cm,610 l,208 km/h,"6,7 l","4,7 l","5,4 l",1.279 kg,53 l,"10,6 s"
Opel Insignia St 2.0cdti S&s Excellence Aut. 170,11.900€,03/2017,101.999 km,170 cv en Malaga,Automática secuencial,5 puertas,5,170 cv,Azul,148 gr/m,Diesel,SÍ,Profesional,Stationwagon,150 cm,499 cm,186 cm,560 l,223 km/h,"6,7 l","4,3 l","5,2 l",1.487 kg,62 l,"8,9 s"
Kia Ceed Tourer 1.4 T-gdi Eco-dynamics Drive,15.500€,01/2019,18.742 km,140 cv en Cantabria,Manual,5 puertas,5,140 cv,Cosmo blue,131 gr/m,Gasolina,SÍ,Profesional,Stationwagon,147 cm,460 cm,180 cm,625 l,210 km/h,"7,5 l","4,0 l","5,8 l",1.352 kg,50 l,"9,1 s"
Volkswagen Passat Variant 2.0tdi Sport Dsg7 110kw,26.990€,05/2017,37.963 km,150 cv,Automática secuencial,5 puertas,5,150 cv,Negro,117 gr/m,Diesel,SÍ,Profesional,Stationwagon,148 cm,477 cm,183 cm,650 l,216 km/h,"5,1 l","4,0 l","4,4 l",1.501 kg,59 l,"8,9 s"
Opel Insignia St 1.6cdti S&s Excellence Ecotec 136,16.990€,06/2017,130.487 km,136 cv,Manual,5 puertas,5,136 cv,Blanco,119 gr/m,Diesel,SÍ,Profesional,Stationwagon,150 cm,499 cm,186 cm,560 l,212 km/h,"5,3 l","4,1 l","4,5 l",1.487 kg,62 l,"10,7 s"
