title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Peugeot 307 Cc 2.0,4.500€,2005,119.000 km,138 cv en Barcelona,Manual,2 puertas,4,138 cv,Verde oscuro,194 gr/m,Gasolina,No,Particular,Convertible,142 cm,434 cm,175 cm,0 l,0 km/h,"11,5 l","6,2 l","8,2 l",1.457 kg,60 l,"10,3 s"
Mercedes Clase Slk Slk 200 Kompressor,8.950€,2004,147.000 km,163 cv en Segovia,Manual,2 puertas,2,163 cv,Azul,0 gr/m,Gasolina,No,Particular,Roadster,126 cm,401 cm,172 cm,0 l,0 km/h,"14,1 l","7,3 l","9,8 l",1.365 kg,60 l,"8,2 s"
Bmw Serie 4 425d Gran Coupé,34.800€,2017,71.500 km,224 cv en Tarragona,Manual,5 puertas,5,224 cv,Rojo,125 gr/m,Diesel,No,Particular,Coupe,139 cm,464 cm,183 cm,480 l,247 km/h,"5,8 l","4,1 l","4,7 l",1.550 kg,57 l,"6,7 s"
Bmw Serie 2 M2a,55.000€,2017,28.000 km,370 cv en Tenerife,Automática secuencial,2 puertas,4,370 cv,Blanco,185 gr/m,Gasolina,No,Particular,Coupe,141 cm,447 cm,185 cm,390 l,270 km/h,"10,5 l","6,4 l","7,9 l",1.520 kg,52 l,"4,3 s"
Fiat 500 C 1.2 Lounge,8.300€,2012,77.000 km,69 cv en Asturias,Automática,2 puertas,4,69 cv,Rojo,117 gr/m,Gasolina,No,Particular,Convertible,149 cm,355 cm,163 cm,182 l,160 km/h,"6,4 l","4,3 l","5,1 l",905 kg,35 l,"13,4 s"
Audi A5 Coupé 3.2 Fsi Quattro Tiptronic,12.999€,06/2008,180.000 km,265 cv en Madrid,Automática secuencial,2 puertas,4,265 cv,Gris,213 gr/m,Gasolina,SÍ,Profesional,Coupe,137 cm,463 cm,185 cm,455 l,250 km/h,"13,0 l","6,9 l","9,2 l",1.645 kg,65 l,"6,4 s"
Audi A5 Cabrio 2.0tdi Multitronic,19.900€,2014,137.000 km,177 cv en Malaga,Automática secuencial,2 puertas,4,177 cv,Marrón,132 gr/m,Diesel,No,Particular,Convertible,138 cm,463 cm,185 cm,320 l,222 km/h,"5,8 l","4,4 l","4,9 l",1.655 kg,63 l,"8,8 s"
Volkswagen Golf Cabriolet 1.8 Gli-quartet,7.500€,1990,199.000 km,112 cv en Madrid,Manual,2 puertas,4,112 cv,Rojo,0 gr/m,Gasolina,No,Particular,Convertible,0 cm,0 cm,164 cm,0 l,0 km/h,"0,0 l","0,0 l","0,0 l",965 kg,0 l,"9,4 s"
Bmw Serie 3 M3,27.000€,2004,138.525 km,343 cv en Navarra,Manual,2 puertas,5,343 cv,Gris,0 gr/m,Gasolina,No,Particular,Coupe,137 cm,449 cm,178 cm,0 l,250 km/h,"17,8 l","8,4 l","11,9 l",1.500 kg,63 l,"5,2 s"
Audi A5 Coupé 2.7tdi Multitronic,12.500€,2008,203.000 km,190 cv en Madrid,Automática secuencial,2 puertas,4,190 cv,Gris,167 gr/m,Diesel,No,Particular,Coupe,137 cm,463 cm,185 cm,455 l,250 km/h,"7,9 l","5,5 l","6,4 l",1.650 kg,65 l,"5,9 s"
Mercedes Clase Cla Cla 200cdi Urban,20.900€,2015,73.000 km,136 cv en Malaga,Manual,4 puertas,5,136 cv,Negro,114 gr/m,Diesel,No,Particular,Coupe,143 cm,463 cm,178 cm,470 l,220 km/h,"5,5 l","3,7 l","4,4 l",1.500 kg,50 l,"9,4 s"
Audi A7 Sportback 3.0tdi Quattro S-tronic 245,29.500€,2012,72.000 km,245 cv en Pontevedra,Automática secuencial,5 puertas,4,245 cv,Gris,156 gr/m,Diesel,No,Particular,Coupe,142 cm,497 cm,191 cm,535 l,250 km/h,"7,2 l","5,3 l","6,0 l",1.785 kg,65 l,"6,3 s"
Alfa Romeo Alfetta Gtv 2.0,8.500€,1984,62.570 km,130 cv en Madrid,Manual,3 puertas,4,130 cv,Rojo,0 gr/m,Gasolina,No,Particular,Coupe,133 cm,426 cm,166 cm,0 l,0 km/h,"0,0 l","0,0 l","0,0 l",1.100 kg,0 l,"0,0 s"
Peugeot 406 Coupé 3.0 V6 Pack,3.900€,2004,222.000 km,210 cv en Valladolid,Manual,2 puertas,4,210 cv,Gris,0 gr/m,Gasolina,No,Particular,Coupe,136 cm,462 cm,178 cm,0 l,0 km/h,"15,9 l","8,0 l","10,9 l",1.458 kg,70 l,"8,9 s"
Mercedes Clase Sl Sl 320,29.900€,1998,145.000 km,231 cv en Girona,Automática,2 puertas,2,231 cv,Rojo,0 gr/m,Gasolina,No,Particular,Roadster,130 cm,450 cm,181 cm,0 l,0 km/h,"18,2 l","9,2 l","12,5 l",1.780 kg,0 l,"8,4 s"
Mercedes Clase Clk Clk 320 Elegance,5.000€,2002,189.000 km,218 cv en Zaragoza,Automática,2 puertas,4,218 cv,Azul,0 gr/m,Gasolina,No,Particular,Coupe,135 cm,457 cm,172 cm,0 l,0 km/h,"15,1 l","7,4 l","10,1 l",1.495 kg,0 l,"7,4 s"
Mini Mini Cabrio Cooper Sd Aut.,14.000€,2011,170.000 km,143 cv en Pontevedra,Automática secuencial,2 puertas,4,143 cv,Gris,143 gr/m,Diesel,No,Particular,Convertible,141 cm,372 cm,168 cm,125 l,203 km/h,"7,1 l","4,4 l","5,4 l",1.265 kg,40 l,"8,9 s"
Saab 9-3 2.0i,5.000€,1999,350.000 km,130 cv en Alicante,Manual,2 puertas,5,130 cv,Negro,0 gr/m,Gasolina,No,Particular,Convertible,143 cm,463 cm,171 cm,0 l,0 km/h,"13,6 l","6,9 l","9,6 l",1.360 kg,0 l,"11,0 s"
Mercedes Clase C C Cabrio 200 9g-tronic,34.999€,05/2017,48.000 km,183 cv en Alicante,Automática secuencial,2 puertas,4,183 cv,Blanco,138 gr/m,Gasolina,SÍ,Profesional,Convertible,141 cm,469 cm,181 cm,285 l,235 km/h,"7,8 l","5,5 l","6,5 l",1.645 kg,66 l,"8,2 s"
Opel Astra Twin Top 1.6 Enjoy,3.200€,2006,180.000 km,105 cv en Asturias,Manual,2 puertas,4,105 cv,Negro,168 gr/m,Gasolina,No,Particular,Convertible,141 cm,448 cm,183 cm,205 l,186 km/h,"9,1 l","5,8 l","7,0 l",1.420 kg,52 l,"14,1 s"
Mercedes Clase Clk Clk 230 K Elegance,4.000€,2000,130.200 km,193 cv en Madrid,Manual,2 puertas,4,193 cv,Azul,0 gr/m,Gasolina,No,Particular,Coupe,135 cm,457 cm,172 cm,0 l,0 km/h,"14,1 l","7,3 l","9,8 l",1.425 kg,0 l,"8,4 s"
Nissan Micra C+c 1.6i Tekna Plus,7.700€,2007,120.000 km,110 cv en Madrid,Manual,2 puertas,4,110 cv,Negro,160 gr/m,Gasolina,No,Particular,Convertible,144 cm,381 cm,167 cm,255 l,190 km/h,"8,7 l","5,6 l","6,7 l",1.150 kg,46 l,"10,6 s"
Mercedes Clase C C Sportcoupé 200 K,3.500€,2002,200.000 km,163 cv en Sevilla,Manual,3 puertas,4,163 cv,Blanco,0 gr/m,Gasolina,No,Particular,Coupe,141 cm,434 cm,173 cm,0 l,0 km/h,"12,6 l","6,7 l","9,7 l",1.480 kg,0 l,"9,3 s"
