title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Fiat Panda 1.0 Gse City Live Hybrid,12.400€,01/2021,12 km,70 cv en Alicante,Manual,5 puertas,4,70 cv,Blanco alpine,89 gr/m,Gasolina,SÍ,Profesional,Berlina,155 cm,365 cm,164 cm,225 l,164 km/h,"5,0 l","3,8 l","4,2 l",1.055 kg,38 l,"13,9 s"
Fiat Panda 0.9 Twinair Cross 4x4,16.300€,01/2021,1 km,85 cv en Alicante,Manual,5 puertas,4,85 cv,Azul ceramico,117 gr/m,Gasolina,SÍ,Profesional,Berlina,166 cm,371 cm,166 cm,225 l,164 km/h,"5,9 l","5,6 l","5,7 l",1.165 kg,35 l,"12,7 s"
Fiat 500 1.2 Lounge,7.490€,2012,61.517 km,69 cv,Manual,3 puertas,4,69 cv,Rojo,117 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,355 cm,163 cm,185 l,160 km/h,"6,4 l","4,3 l","5,1 l",865 kg,35 l,"12,9 s"
Abarth 500 Abarth 595 1.4t-jet Competizione Secuencial,22.990€,2020,2.251 km,135 cv,Automática secuencial,3 puertas,4,135 cv,Gris,151 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,366 cm,163 cm,185 l,165 km/h,"8,0 l","5,3 l","6,3 l",1.035 kg,35 l,"0,0 s"
Opel Adam 1.4 Xer S&s Glam,10.000€,2018,9.000 km,100 cv,Manual,3 puertas,4,100 cv,Negro,128 gr/m,Gasolina,SÍ,Profesional,Berlina,148 cm,370 cm,172 cm,170 l,185 km/h,"6,6 l","4,2 l","5,1 l",1.120 kg,38 l,"11,5 s"
Peugeot 108 1.0 Vti Active Etg5,7.990€,2017,13.637 km,68 cv,Manual automatizada,5 puertas,4,68 cv,Azul,97 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,348 cm,162 cm,180 l,157 km/h,"5,0 l","3,8 l","4,2 l",860 kg,35 l,"15,9 s"
Renault Twingo Sce Energy S&s Zen 52kw,7.490€,2015,25.112 km,70 cv,Manual,5 puertas,4,70 cv,Blanco,99 gr/m,Gasolina,SÍ,Profesional,Berlina,155 cm,360 cm,165 cm,219 l,151 km/h,"5,0 l","3,7 l","4,2 l",865 kg,35 l,"14,5 s"
Smart Fortwo Coupé 66 Passion,9.990€,2017,31.331 km,90 cv,Manual,3 puertas,2,90 cv,Azul,118 gr/m,Gasolina,SÍ,Profesional,Berlina,156 cm,270 cm,166 cm,190 l,155 km/h,"6,3 l","4,6 l","5,2 l",900 kg,28 l,"10,7 s"
Citroen C1 1.0 Vti City Edition 72,9.900€,01/2019,1 km,72 cv en Toledo,Manual,5 puertas,4,72 cv,Gris gallium,85 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,347 cm,162 cm,196 l,160 km/h,"4,9 l","3,6 l","4,1 l",883 kg,35 l,"13,8 s"
Seat Mii 1.0 Style 60,5.990€,2015,18.279 km,60 cv,Manual,5 puertas,4,60 cv,Rojo,105 gr/m,Gasolina,SÍ,Profesional,Berlina,148 cm,356 cm,164 cm,238 l,160 km/h,"5,5 l","3,8 l","4,4 l",926 kg,35 l,"14,4 s"
Fiat 500 1.2 Pop,7.490€,2016,61.550 km,69 cv,Manual,3 puertas,4,69 cv,Rojo,115 gr/m,Gasolina,SÍ,Profesional,Berlina,149 cm,357 cm,163 cm,185 l,160 km/h,"6,4 l","4,3 l","5,1 l",865 kg,35 l,"12,9 s"
Toyota Aygo 1.0 Vvt-i X-play,6.990€,2018,33.770 km,69 cv,Manual,5 puertas,4,69 cv,Negro,95 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,346 cm,162 cm,168 l,160 km/h,"5,0 l","3,6 l","4,1 l",855 kg,35 l,"14,2 s"
