title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Honda Accord 2.0i-vtec Executive E. Especial,5.950€,2007,169.000 km,155 cv en Alicante,Manual,4 puertas,5,155 cv,Gris,189 gr/m,Gasolina,SÍ,Profesional,Berlina,145 cm,467 cm,176 cm,459 l,217 km/h,"10,9 l","6,3 l","8,0 l",1.355 kg,65 l,"9,3 s"
Bmw Serie 3 330d Xdrive,13.300€,08/2010,154.230 km,245 cv en Malaga,Manual,4 puertas,5,245 cv,,171 gr/m,Diesel,SÍ,Profesional,Berlina,142 cm,453 cm,182 cm,460 l,247 km/h,"8,3 l","5,5 l","6,5 l",1.710 kg,61 l,"5,9 s"
Mazda Mazda6 2.2de Business Edition,12.900€,10/2016,140.000 km,150 cv en Ciudad Real,Manual,4 puertas,5,150 cv,Azul,108 gr/m,Diesel,SÍ,Profesional,Berlina,145 cm,487 cm,184 cm,489 l,211 km/h,"5,1 l","3,6 l","4,1 l",1.480 kg,62 l,"9,0 s"
Lexus Is Is 300h Executive,22.500€,05/2016,111.066 km,223 cv en Burgos,Automática continua,4 puertas,5,223 cv,,104 gr/m,Híbrido,SÍ,Profesional,Berlina,143 cm,468 cm,181 cm,450 l,200 km/h,"5,5 l","3,0 l","4,6 l",1.620 kg,66 l,"8,3 s"
Audi A5 Sb 2.0tdi S Line Edition 190,26.999€,02/2017,99.000 km,190 cv en Madrid,Manual,5 puertas,4,190 cv,Gris,126 gr/m,Diesel,SÍ,Profesional,Berlina,139 cm,471 cm,185 cm,480 l,238 km/h,"5,5 l","4,0 l","4,6 l",1.655 kg,63 l,"7,8 s"
Opel Insignia 1.6cdti Ecof. S&s Excellence 136,14.900€,08/2017,80.000 km,136 cv en Murcia,Manual,4 puertas,5,136 cv,,104 gr/m,Diesel,SÍ,Profesional,Berlina,149 cm,484 cm,186 cm,500 l,210 km/h,"4,7 l","3,5 l","3,9 l",1.513 kg,70 l,"10,9 s"
Bmw Serie 5 M5a,52.500€,08/2014,45.300 km,560 cv en Navarra,Automática secuencial,4 puertas,5,560 cv,Azul,232 gr/m,Gasolina,SÍ,Profesional,Berlina,145 cm,491 cm,189 cm,520 l,250 km/h,"14,0 l","7,6 l","9,6 l",1.945 kg,80 l,"4,4 s"
Volkswagen Passat 2.0 Advance 130,3.490€,06/2004,149.000 km,130 cv en Barcelona,Manual,4 puertas,5,130 cv,Beige,0 gr/m,Gasolina,SÍ,Profesional,Berlina,0 cm,0 cm,174 cm,0 l,204 km/h,"11,9 l","6,4 l","8,4 l",1.340 kg,62 l,"10,3 s"
Porsche Panamera Turbo Aut.,109.500€,10/2017,51.100 km,550 cv en Madrid,Automática secuencial,5 puertas,4,550 cv,Blanco,238 gr/m,Gasolina,SÍ,Profesional,Berlina,143 cm,505 cm,194 cm,495 l,306 km/h,"14,1 l","8,3 l","10,4 l",1.995 kg,90 l,"3,8 s"
Mercedes Clase C C 250cdi Be Edition 4m 7g,17.990€,03/2012,153.000 km,204 cv en Madrid,Automática secuencial,4 puertas,5,204 cv,Gris,167 gr/m,Diesel,SÍ,Profesional,Berlina,145 cm,458 cm,177 cm,475 l,240 km/h,"8,7 l","5,0 l","6,4 l",1.675 kg,59 l,"7,0 s"
