title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Seat Arona 1.0 Tsi Ecomotive S&s Fr Dsg7 115,17.850€,06/2019,41.511 km,115 cv en Valencia,Automática secuencial,5 puertas,5,115 cv,Blanco,113 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,155 cm,414 cm,178 cm,400 l,190 km/h,"5,6 l","4,4 l","4,9 l",1.201 kg,40 l,"10,0 s"
Nissan X-trail X-trail 1.7 Dci N-tec 4x2,28.200€,02/2020,4.473 km,150 cv en Valencia,Manual,5 puertas,5,150 cv,Negro,137 gr/m,Diesel,SÍ,Profesional,Todo Terreno,171 cm,469 cm,182 cm,565 l,194 km/h,"5,9 l","4,8 l","5,2 l",1.580 kg,60 l,"10,7 s"
Nissan X-trail X-trail 1.6 Dci Tekna 4x2 Xtronic,22.990€,2017,65.881 km,130 cv en Madrid,Automática continua,5 puertas,5,130 cv,Plata,139 gr/m,Diesel,SÍ,Profesional,Todo Terreno,171 cm,469 cm,182 cm,565 l,180 km/h,"6,0 l","4,9 l","5,3 l",1.565 kg,60 l,"11,4 s"
Hyundai Tucson 1.6 Gdi Sle 4x2,21.950€,2020,NUEVO,131 cv en Illes Balears,Manual,5 puertas,5,131 cv,Gris,157 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,166 cm,448 cm,185 cm,513 l,182 km/h,"8,1 l","6,1 l","6,8 l",1.379 kg,62 l,"11,5 s"
Opel Crossland X 1.5d Innovation 102,17.000€,2020,1.500 km,102 cv en Almeria,Manual,5 puertas,5,102 cv,Gris,107 gr/m,Diesel,SÍ,Profesional,Todo Terreno,161 cm,421 cm,177 cm,410 l,178 km/h,"4,7 l","3,5 l","4,0 l",1.203 kg,45 l,"11,7 s"
Land Rover Range Rover Velar 2.0d R-dynamic S 4wd Aut. 180,64.500€,2020,7.900 km,180 cv en Madrid,Automática secuencial,5 puertas,5,180 cv,Gris,152 gr/m,Diesel,SÍ,Profesional,Todo Terreno,167 cm,480 cm,203 cm,673 l,209 km/h,"6,2 l","4,9 l","5,4 l",1.829 kg,63 l,"8,9 s"
Citroen C5 Aircross Hybrid Shine Eat8,37.900€,2020,2.000 km,225 cv en Almeria,Automática secuencial,5 puertas,5,225 cv,Gris,36 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,165 cm,450 cm,197 cm,580 l,0 km/h,"0,0 l","0,0 l","1,7 l",1.505 kg,53 l,"0,0 s"
Land Rover Range Rover Sport 2.0 Si4 Phev Hse 404,85.900€,2020,8.900 km,404 cv en Madrid,Automática secuencial,5 puertas,5,404 cv,Azul,72 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,180 cm,488 cm,198 cm,780 l,220 km/h,"0,0 l","0,0 l","3,4 l",2.471 kg,90 l,"6,7 s"
Toyota Rav-4 Rav-4 2.5 Hybrid 2wd Advance,21.300€,2018,29.729 km,197 cv en Madrid,Automática continua,5 puertas,5,197 cv,Blanco,122 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,168 cm,461 cm,185 cm,547 l,185 km/h,"5,0 l","4,8 l","5,3 l",1.700 kg,56 l,"8,3 s"
Citroen C3 Aircross Bluehdi S&s Shine 100,16.000€,2020,18.000 km,100 cv en Almeria,Manual,5 puertas,5,100 cv,Naranja,107 gr/m,Diesel,SÍ,Profesional,Todo Terreno,160 cm,415 cm,182 cm,410 l,184 km/h,"4,7 l","3,5 l","4,0 l",1.203 kg,45 l,"10,8 s"
Citroen C3 Aircross Puretech S&s Feel 110,16.700€,2020,5.000 km,110 cv en Almeria,Manual,5 puertas,5,110 cv,Azul,110 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,160 cm,415 cm,182 cm,410 l,185 km/h,"5,9 l","4,6 l","5,0 l",1.159 kg,45 l,"10,2 s"
Opel Crossland X 1.2t S&s Design Line - 120 Aniversario 110,14.900€,2019,18.000 km,110 cv en Almeria,Manual,5 puertas,5,110 cv,Azul,108 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,161 cm,421 cm,177 cm,410 l,187 km/h,"5,4 l","4,3 l","4,7 l",1.159 kg,45 l,"10,9 s"
Opel Crossland 1.2 S&s Gs Line 110,20.500€,2021,5 km,110 cv en Almeria,Manual,5 puertas,5,110 cv,Blanco,109 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,161 cm,422 cm,183 cm,410 l,187 km/h,"5,8 l","4,1 l","4,8 l",1.245 kg,45 l,"10,9 s"
Opel Grandland X 1.2t S&s Selective 130,17.370€,2019,25.500 km,130 cv en Almeria,Manual,5 puertas,5,130 cv,Gris,116 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,161 cm,448 cm,186 cm,514 l,188 km/h,"6,4 l","4,9 l","5,4 l",1.350 kg,53 l,"11,1 s"
Porsche Cayenne S Aut.,97.400€,01/2019,36.585 km,440 cv,Automática secuencial,5 puertas,5,440 cv,Azul,209 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,170 cm,492 cm,198 cm,770 l,265 km/h,"11,8 l","8,4 l","9,4 l",2.020 kg,75 l,"5,2 s"
Mazda Cx-5 Cx-5 2.2d Zenith Black Leather 4wd Aut. 110kw,23.700€,2018,73.747 km,150 cv en Madrid,Automática secuencial,5 puertas,5,150 cv,Blanco,150 gr/m,Diesel,SÍ,Profesional,Todo Terreno,168 cm,455 cm,184 cm,463 l,196 km/h,"6,7 l","5,3 l","5,8 l",1.530 kg,58 l,"10,3 s"
Dacia Duster 1.5dci Ambiance 4x4 110,6.500€,2010,169.202 km,110 cv en Lugo,Manual,5 puertas,5,110 cv,Marrón,137 gr/m,Diesel,SÍ,Profesional,Todo Terreno,163 cm,432 cm,182 cm,443 l,168 km/h,"6,5 l","5,3 l","5,6 l",1.369 kg,50 l,"12,5 s"
Audi Q3 1.4 Tfsi Cod Design Edition S Tronic,20.390€,2016,73.404 km,150 cv en Madrid,Automática secuencial,5 puertas,5,150 cv,Blanco,143 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,159 cm,439 cm,183 cm,460 l,204 km/h,"7,1 l","5,1 l","6,2 l",1.480 kg,64 l,"8,9 s"
Bmw X1 Sdrive 18da,42.900€,2020,NUEVO,150 cv en Illes Balears,Automática secuencial,5 puertas,5,150 cv,Gris,114 gr/m,Diesel,SÍ,Profesional,Todo Terreno,160 cm,445 cm,182 cm,505 l,200 km/h,"5,0 l","4,0 l","4,3 l",1.540 kg,51 l,"9,4 s"
Bmw X1 Sdrive 18da Business,40.900€,2020,NUEVO,150 cv en Illes Balears,Automática secuencial,5 puertas,5,150 cv,Beige,114 gr/m,Diesel,SÍ,Profesional,Todo Terreno,160 cm,445 cm,182 cm,505 l,200 km/h,"4,9 l","4,0 l","4,4 l",1.540 kg,51 l,"9,4 s"
Bmw X3 Sdrive 18da,48.900€,2021,NUEVO,150 cv en Illes Balears,Automática secuencial,5 puertas,5,150 cv,Blanco,116 gr/m,Diesel,SÍ,Profesional,Todo Terreno,168 cm,471 cm,189 cm,550 l,198 km/h,"4,8 l","4,2 l","4,4 l",1.690 kg,58 l,"9,5 s"
Bmw X3 Xdrive 20da,57.900€,2020,NUEVO,190 cv en Illes Balears,Automática secuencial,5 puertas,5,190 cv,Negro,133 gr/m,Diesel,SÍ,Profesional,Todo Terreno,168 cm,471 cm,189 cm,550 l,213 km/h,"5,3 l","4,9 l","5,1 l",1.760 kg,60 l,"8,0 s"
Audi Q3 35 Tfsi Advanced S Tronic,33.200€,2020,16.588 km,150 cv en Albacete,Automática secuencial,5 puertas,5,150 cv,Blanco,134 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,162 cm,448 cm,186 cm,530 l,207 km/h,"6,6 l","4,9 l","5,8 l",1.460 kg,60 l,"9,6 s"
