title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Audi A1 Sportback 30 Tfsi Black Line,19.900€,2019,18.151 km,116 cv en Navarra,Manual,5 puertas,5,116 cv,Azul,111 gr/m,Gasolina,SÍ,Profesional,Berlina,141 cm,403 cm,174 cm,335 l,203 km/h,"5,9 l","4,1 l","4,9 l",1.180 kg,40 l,"9,5 s"
Ford Focus 2.0tdci Auto-s&s St+ 185,16.900€,2016,65.900 km,"185 cv en Coruña, A",Manual,5 puertas,5,185 cv,Blanco,110 gr/m,Diesel,SÍ,Profesional,Berlina,147 cm,436 cm,182 cm,316 l,217 km/h,"5,0 l","3,8 l","4,2 l",1.464 kg,62 l,"8,1 s"
Volkswagen Golf 2.0tdi Cr Bmt Advance 150,17.500€,2016,81.000 km,"150 cv en Coruña, A",Manual,5 puertas,5,150 cv,Gris,109 gr/m,Diesel,SÍ,Profesional,Berlina,145 cm,426 cm,180 cm,380 l,216 km/h,"5,0 l","3,6 l","4,1 l",1.354 kg,50 l,"8,6 s"
Hyundai I30 I30 1.4 Mpi Essence 100,12.990€,2019,17 km,100 cv en Burgos,Manual,5 puertas,5,100 cv,Blanco,140 gr/m,Gasolina,SÍ,Profesional,Berlina,146 cm,434 cm,180 cm,395 l,183 km/h,"7,7 l","5,2 l","6,2 l",1.179 kg,50 l,"12,6 s"
Toyota Yaris 1.0 City,9.800€,2018,40.029 km,69 cv en Alicante,Manual,5 puertas,5,69 cv,Blanco,104 gr/m,Gasolina,SÍ,Profesional,Berlina,151 cm,395 cm,170 cm,286 l,155 km/h,"5,3 l","4,1 l","4,6 l",980 kg,42 l,"15,3 s"
Smart Forfour Eq Passion,13.990€,2018,17.100 km,82 cv en Madrid,Automática,5 puertas,4,82 cv,Blanco,0 gr/m,Eléctrico,SÍ,Profesional,Berlina,155 cm,350 cm,167 cm,185 l,130 km/h,"0,0 l","0,0 l","0,0 l",1.200 kg,0 l,"12,7 s"
Opel Astra 1.6cdti S-s Dynamic 110,12.450€,2018,105.931 km,110 cv en Sevilla,Manual,5 puertas,5,110 cv,Marrón,107 gr/m,Diesel,SÍ,Profesional,Berlina,149 cm,437 cm,181 cm,370 l,195 km/h,"4,2 l","3,3 l","3,7 l",1.350 kg,47 l,"11,0 s"
Bmw Serie 1 116d,10.900€,2013,155.000 km,116 cv en Jaen,Manual,5 puertas,5,116 cv,Azul,109 gr/m,Diesel,SÍ,Profesional,Berlina,142 cm,432 cm,177 cm,360 l,200 km/h,"5,3 l","3,8 l","4,3 l",1.310 kg,50 l,"10,3 s"
Audi A3 2.0tdi S Line Edition,6.999€,2008,240.000 km,140 cv en Jaen,Manual,3 puertas,5,140 cv,Gris,146 gr/m,Diesel,SÍ,Profesional,Berlina,142 cm,421 cm,177 cm,350 l,207 km/h,"7,2 l","4,6 l","5,5 l",1.405 kg,55 l,"9,5 s"
Smart Forfour Eq Passion,13.990€,2018,17.600 km,82 cv en Madrid,Automática,5 puertas,4,82 cv,Blanco,0 gr/m,Eléctrico,SÍ,Profesional,Berlina,155 cm,350 cm,167 cm,185 l,130 km/h,"0,0 l","0,0 l","0,0 l",1.200 kg,0 l,"12,7 s"
