title,price,year,kms,city,gear,doors,seats,power,color,co2_emiss,fuel_type,warranty,dealer,chassis,height,length,width,trunk_vol,max_speed,urban_cons,xtrurban_cons,mixed_cons,weight,tank_vol,acceleration
Opel Grandland X Phev 1.6 Turbo Ultimate At8 4x4,34.700€,01/2020,3.000 km,300 cv en Alava,Automática secuencial,5 puertas,5,300 cv,Blanco,34 gr/m,Híbrido,SÍ,Profesional,Todo Terreno,161 cm,448 cm,186 cm,514 l,220 km/h,"0,0 l","0,0 l","1,6 l",1.350 kg,53 l,"7,0 s"
Volkswagen Tiguan 2.0tdi Bmt Country 4motion 140,12.600€,2012,110.000 km,140 cv en Lleida,Manual,5 puertas,5,140 cv,Azul,150 gr/m,Diesel,SÍ,Profesional,Todo Terreno,170 cm,443 cm,181 cm,470 l,190 km/h,"6,9 l","5,1 l","5,8 l",1.651 kg,64 l,"6,9 s"
Opel Grandland X 1.2t S&s Selective 130,16.500€,12/2019,9.379 km,130 cv en Cadiz,Manual,5 puertas,5,130 cv,Gris bÁltico,117 gr/m,Gasolina,SÍ,Profesional,Todo Terreno,161 cm,448 cm,186 cm,514 l,188 km/h,"6,4 l","4,9 l","5,4 l",1.350 kg,53 l,"11,1 s"
Hyundai I30 I30 Fb 1.0 Tgdi Klass 120,14.000€,2019,12.000 km,120 cv en Toledo,Manual,5 puertas,5,120 cv,Blanco,125 gr/m,Gasolina,SÍ,Profesional,Berlina,143 cm,446 cm,180 cm,450 l,188 km/h,"6,5 l","4,9 l","5,5 l",1.242 kg,50 l,"11,5 s"
Bmw Serie 1 135i Cabrio,17.500€,2008,87.668 km,306 cv en Girona,Manual,2 puertas,4,306 cv,Blanco,200 gr/m,Gasolina,SÍ,Profesional,Convertible,139 cm,436 cm,175 cm,260 l,250 km/h,"13,3 l","7,1 l","9,4 l",1.675 kg,53 l,"5,6 s"
Mercedes Clase Gle Gle 350d 4matic Aut.,46.700€,04/2017,33.415 km,258 cv,Automática secuencial,5 puertas,5,258 cv,Rojo,191 gr/m,Diesel,SÍ,Profesional,Todo Terreno,180 cm,482 cm,194 cm,690 l,225 km/h,"8,8 l","6,8 l","7,5 l",2.175 kg,93 l,"7,1 s"
Mercedes Clase Gle Gle 350d 4matic Aut.,46.700€,04/2017,33.415 km,"258 cv en Palmas, Las",Automática secuencial,5 puertas,5,258 cv,Rojo,191 gr/m,Diesel,SÍ,Profesional,Todo Terreno,180 cm,482 cm,194 cm,690 l,225 km/h,"8,8 l","6,8 l","7,5 l",2.175 kg,93 l,"7,1 s"
Fiat 500l 500l 1.4,7.995€,09/2014,33.852 km,95 cv en Madrid,Manual,5 puertas,5,95 cv,Blanco,145 gr/m,Gasolina,SÍ,Profesional,Monovolumen,167 cm,415 cm,178 cm,343 l,170 km/h,"8,3 l","5,0 l","6,2 l",1.245 kg,50 l,"12,8 s"
Ford Kuga 1.5 Ecoblue Titanium Fwd 120,19.600€,02/2020,10.500 km,120 cv en Almeria,Manual,5 puertas,5,120 cv,Blanco (sólido),105 gr/m,Diesel,SÍ,Profesional,Todo Terreno,168 cm,461 cm,188 cm,456 l,180 km/h,"4,7 l","3,8 l","4,2 l",1.506 kg,60 l,"11,7 s"
Bmw Serie 6 M6a Cabrio,38.900€,12/2009,128.000 km,507 cv en Valencia,Automática secuencial,2 puertas,4,507 cv,Negro,352 gr/m,Gasolina,SÍ,Profesional,Convertible,138 cm,487 cm,186 cm,300 l,250 km/h,"22,8 l","10,7 l","15,2 l",2.005 kg,70 l,"4,8 s"
