iter	Passed	Remaining
159	2726	14313
160	2741	14286
161	2758	14270
162	2774	14247
163	2789	14218
164	2805	14199
165	2822	14178
166	2838	14157
167	2854	14139
168	2870	14115
169	2888	14103
170	2905	14086
171	2922	14068
172	2941	14060
173	2958	14043
174	2975	14029
175	2996	14029
176	3012	14006
177	3031	13998
178	3051	13995
179	3067	13973
180	3082	13949
181	3099	13929
182	3114	13903
183	3131	13889
184	3149	13875
185	3166	13857
186	3188	13860
187	3204	13840
188	3231	13866
189	3253	13872
190	3270	13852
191	3286	13830
192	3301	13805
193	3317	13784
194	3336	13773
195	3353	13756
196	3369	13735
197	3385	13714
198	3402	13693
199	3417	13671
200	3433	13650
201	3449	13628
202	3466	13610
203	3482	13590
204	3498	13566
205	3516	13554
206	3533	13535
207	3552	13526
208	3567	13503
209	3583	13481
210	3599	13460
211	3616	13444
212	3640	13449
213	3658	13436
214	3675	13419
215	3693	13405
216	3709	13383
217	3738	13410
218	3756	13396
219	3772	13374
220	3789	13358
221	3806	13340
222	3829	13341
223	3852	13346
224	3875	13348
225	3890	13324
226	3905	13299
227	3920	13273
228	3933	13244
229	3948	13217
230	3963	13195
231	3979	13173
232	3994	13148
233	4009	13125
234	4024	13102
235	4038	13074
236	4054	13052
237	4069	13027
238	4083	13001
239	4098	12979
240	4113	12954
241	4128	12931
242	4143	12907
243	4157	12881
244	4184	12895
245	4198	12869
246	4215	12852
247	4235	12841
248	4253	12827
249	4271	12814
250	4289	12801
251	4306	12782
252	4322	12762
253	4340	12746
254	4355	12725
255	4374	12712
256	4389	12689
257	4405	12669
258	4420	12646
259	4434	12622
260	4452	12606
261	4469	12588
262	4485	12570
263	4502	12553
264	4519	12534
265	4535	12514
266	4557	12513
267	4582	12516
268	4604	12512
269	4621	12495
270	4644	12494
271	4671	12503
272	4690	12490
273	4704	12466
274	4723	12452
275	4746	12450
276	4761	12428
277	4776	12406
278	4793	12388
279	4809	12367
280	4825	12346
281	4840	12324
282	4862	12318
283	4878	12299
284	4893	12275
285	4908	12253
286	4926	12239
287	4942	12218
288	4957	12196
289	4972	12175
290	4988	12155
291	5004	12133
292	5019	12110
293	5034	12090
294	5049	12068
295	5067	12053
296	5084	12034
297	5098	12010
298	5115	11993
299	5129	11968
300	5147	11954
301	5163	11933
302	5180	11917
303	5196	11898
304	5211	11875
305	5229	11860
306	5248	11847
307	5264	11829
308	5283	11814
309	5298	11793
310	5314	11772
311	5328	11750
312	5342	11727
313	5358	11706
314	5373	11684
315	5388	11663
316	5403	11641
317	5418	11620
318	5433	11600
319	5448	11578
320	5464	11558
321	5479	11538
322	5498	11525
323	5514	11504
324	5529	11483
325	5545	11464
326	5561	11445
327	5576	11425
328	5591	11403
329	5610	11391
330	5627	11373
331	5642	11353
332	5666	11349
333	5682	11331
334	5700	11316
335	5715	11295
336	5731	11274
337	5746	11255
338	5761	11233
339	5777	11215
340	5792	11195
341	5807	11172
342	5821	11150
343	5835	11128
344	5851	11109
345	5868	11091
346	5887	11079
347	5904	11062
348	5919	11042
349	5935	11022
350	5958	11017
351	5972	10995
352	5989	10978
353	6005	10959
354	6020	10937
355	6037	10920
356	6053	10903
357	6083	10908
358	6097	10887
359	6113	10868
360	6128	10847
361	6144	10828
362	6159	10808
363	6175	10790
364	6208	10801
365	6222	10779
366	6241	10764
367	6259	10750
368	6275	10731
369	6290	10710
370	6331	10735
371	6353	10725
372	6370	10707
373	6385	10688
374	6401	10668
375	6417	10650
376	6434	10632
377	6454	10620
378	6471	10604
379	6494	10596
380	6508	10574
381	6522	10552
382	6536	10530
383	6554	10513
384	6569	10493
385	6582	10471
386	6596	10449
387	6613	10432
388	6629	10413
389	6645	10394
390	6664	10379
391	6678	10359
392	6694	10339
393	6708	10318
394	6723	10298
395	6743	10285
396	6757	10264
397	6778	10253
398	6796	10237
399	6813	10220
400	6831	10204
401	6847	10186
402	6864	10168
403	6879	10149
404	6895	10129
405	6911	10112
406	6927	10092
407	6944	10075
408	6960	10057
409	6976	10039
410	6990	10018
411	7007	10000
412	7021	9980
413	7038	9963
414	7053	9942
415	7069	9924
416	7085	9905
417	7101	9888
418	7117	9869
419	7135	9853
420	7155	9840
421	7172	9823
422	7187	9804
423	7202	9783
424	7217	9764
425	7233	9746
426	7250	9728
427	7265	9710
428	7281	9691
429	7295	9670
430	7311	9652
431	7326	9632
432	7342	9615
433	7357	9595
434	7373	9576
435	7389	9559
436	7405	9540
437	7421	9522
438	7438	9505
439	7453	9486
440	7472	9472
441	7487	9452
442	7502	9433
443	7522	9419
444	7539	9403
445	7558	9389
446	7574	9370
447	7589	9351
448	7606	9334
449	7622	9316
450	7639	9299
451	7657	9284
452	7673	9265
453	7695	9254
454	7711	9237
455	7726	9217
456	7744	9202
457	7761	9185
458	7778	9167
459	7793	9148
460	7808	9129
461	7824	9111
462	7838	9091
463	7855	9073
464	7870	9054
465	7886	9036
466	7901	9018
467	7917	9000
468	7933	8981
469	7948	8963
470	7963	8944
471	7983	8930
472	7997	8910
473	8012	8891
474	8027	8872
475	8041	8852
476	8057	8834
477	8073	8816
478	8091	8801
479	8107	8783
480	8120	8762
481	8140	8748
482	8156	8730
483	8171	8712
484	8186	8692
485	8206	8678
486	8220	8659
487	8235	8640
488	8249	8620
489	8265	8602
490	8280	8583
491	8294	8563
492	8308	8544
493	8323	8525
494	8337	8506
495	8352	8487
496	8371	8472
497	8384	8452
498	8399	8433
499	8414	8414
500	8430	8397
501	8445	8378
502	8459	8358
503	8475	8340
504	8490	8322
505	8506	8305
506	8521	8286
507	8542	8273
508	8557	8255
509	8572	8236
510	8588	8218
511	8623	8219
512	8641	8203
513	8662	8190
514	8679	8173
515	8694	8155
516	8711	8138
517	8734	8127
518	8751	8110
519	8771	8096
520	8790	8081
521	8807	8065
522	8824	8048
523	8841	8031
524	8859	8016
525	8875	7997
526	8892	7981
527	8910	7965
528	8927	7948
529	8943	7930
530	8960	7913
531	8977	7897
532	8994	7880
533	9010	7863
534	9028	7847
535	9048	7833
536	9072	7822
537	9093	7809
538	9116	7796
539	9136	7783
540	9156	7768
541	9174	7752
542	9190	7734
543	9206	7717
544	9220	7697
545	9234	7678
546	9250	7660
547	9265	7642
548	9280	7623
549	9299	7608
550	9323	7597
551	9345	7584
552	9361	7566
553	9377	7549
554	9393	7531
555	9407	7512
556	9423	7494
557	9438	7476
558	9453	7457
559	9467	7439
560	9485	7422
561	9503	7406
562	9521	7390
563	9536	7372
564	9550	7353
565	9565	7334
566	9582	7317
567	9600	7301
568	9623	7289
569	9639	7271
570	9655	7254
571	9673	7238
572	9691	7222
573	9709	7206
574	9736	7196
575	9750	7177
576	9764	7158
577	9779	7139
578	9795	7122
579	9811	7104
580	9826	7086
581	9842	7069
582	9858	7051
583	9874	7033
584	9889	7015
585	9905	6998
586	9921	6980
587	9937	6963
588	9953	6945
589	9968	6927
590	9984	6909
591	9998	6891
592	10015	6873
593	10030	6856
594	10047	6839
595	10061	6819
596	10075	6801
597	10106	6794
598	10122	6776
599	10139	6759
600	10157	6743
601	10171	6724
602	10187	6707
603	10202	6689
604	10218	6671
605	10234	6653
606	10249	6636
607	10264	6617
608	10280	6600
609	10295	6582
610	10310	6564
611	10325	6546
612	10341	6528
613	10356	6510
614	10372	6493
615	10387	6475
616	10401	6456
617	10416	6438
618	10429	6419
619	10446	6402
620	10461	6384
621	10477	6367
622	10493	6350
623	10512	6334
624	10526	6316
625	10542	6298
626	10559	6282
627	10576	6264
628	10594	6248
629	10612	6232
630	10627	6214
631	10641	6196
632	10655	6177
633	10670	6159
634	10686	6142
635	10701	6124
636	10721	6109
637	10741	6094
638	10758	6077
639	10776	6061
640	10794	6045
641	10810	6028
642	10826	6010
643	10842	5993
644	10855	5974
645	10871	5957
646	10886	5939
647	10901	5921
648	10916	5904
649	10933	5887
650	10949	5869
651	10963	5851
652	10978	5834
653	10994	5816
654	11010	5799
655	11026	5782
656	11056	5772
657	11075	5756
658	11097	5742
659	11115	5726
660	11131	5709
661	11149	5692
662	11166	5675
663	11187	5661
664	11204	5644
665	11220	5627
666	11237	5610
667	11256	5594
668	11271	5576
669	11291	5561
670	11305	5543
671	11320	5525
672	11335	5507
673	11349	5489
674	11373	5476
675	11394	5461
676	11411	5444
677	11427	5427
678	11440	5408
679	11455	5390
680	11473	5374
681	11491	5358
682	11507	5341
683	11524	5324
684	11540	5306
685	11559	5290
686	11582	5277
687	11598	5259
688	11615	5243
689	11639	5229
690	11656	5212
691	11671	5194
692	11688	5177
693	11704	5160
694	11722	5144
695	11737	5126
696	11753	5109
697	11769	5092
698	11784	5074
699	11798	5056
700	11814	5039
701	11832	5022
702	11848	5005
703	11863	4987
704	11879	4970
705	11895	4953
706	11910	4935
707	11925	4918
708	11946	4903
709	11961	4885
710	11978	4868
711	11994	4851
712	12010	4834
713	12027	4817
714	12045	4801
715	12076	4790
716	12093	4773
717	12109	4756
718	12125	4738
719	12140	4721
720	12155	4703
721	12172	4686
722	12187	4669
723	12205	4652
724	12226	4637
725	12243	4620
726	12260	4603
727	12276	4586
728	12293	4570
729	12319	4556
730	12336	4539
731	12352	4522
732	12368	4505
733	12385	4488
734	12402	4471
735	12418	4454
736	12445	4441
737	12462	4424
738	12483	4408
739	12499	4391
740	12516	4374
741	12534	4358
742	12553	4342
743	12571	4325
744	12592	4310
745	12610	4293
746	12627	4276
747	12642	4259
748	12658	4241
749	12673	4224
750	12688	4207
751	12707	4190
752	12726	4174
753	12741	4156
754	12756	4139
755	12771	4122
756	12786	4104
757	12802	4087
758	12819	4070
759	12835	4053
760	12852	4036
761	12867	4019
762	12883	4001
763	12900	3984
764	12916	3967
765	12930	3950
766	12946	3932
767	12962	3915
768	12978	3898
769	12994	3881
770	13022	3867
771	13038	3850
772	13060	3835
773	13078	3818
774	13093	3801
775	13110	3784
776	13125	3766
777	13152	3753
778	13168	3735
779	13184	3718
780	13200	3701
781	13214	3683
782	13229	3666
783	13246	3649
784	13262	3632
785	13278	3615
786	13293	3597
787	13308	3580
788	13323	3562
789	13337	3545
790	13353	3528
791	13369	3511
792	13386	3494
793	13401	3476
794	13416	3459
795	13431	3442
796	13445	3424
797	13461	3407
798	13478	3390
799	13492	3373
800	13506	3355
801	13520	3337
802	13536	3320
803	13558	3305
804	13580	3289
805	13603	3274
806	13619	3257
807	13635	3240
808	13649	3222
809	13665	3205
810	13692	3190
811	13707	3173
812	13724	3156
813	13739	3139
814	13753	3121
815	13768	3104
816	13784	3087
817	13798	3070
818	13813	3052
819	13831	3036
820	13849	3019
821	13864	3002
822	13879	2984
823	13893	2967
824	13909	2950
825	13924	2933
826	13939	2915
827	13956	2899
828	13973	2882
829	13988	2865
830	14004	2848
831	14021	2831
832	14036	2814
833	14052	2797
834	14070	2780
835	14086	2763
836	14105	2746
837	14121	2730
838	14137	2712
839	14155	2696
840	14172	2679
841	14190	2662
842	14206	2645
843	14224	2629
844	14240	2612
845	14257	2595
846	14275	2578
847	14291	2561
848	14308	2544
849	14328	2528
850	14343	2511
851	14360	2494
852	14377	2477
853	14396	2461
854	14415	2444
855	14430	2427
856	14444	2410
857	14463	2393
858	14487	2378
859	14504	2361
860	14521	2344
861	14546	2328
862	14567	2312
863	14586	2296
864	14603	2279
865	14620	2262
866	14637	2245
867	14658	2229
868	14675	2212
869	14700	2196
870	14724	2180
871	14740	2163
872	14757	2146
873	14787	2131
874	14806	2115
875	14822	2098
876	14839	2081
877	14856	2064
878	14874	2047
879	14890	2030
880	14908	2013
881	14923	1996
882	14939	1979
883	14957	1962
884	14974	1945
885	14997	1929
886	15013	1912
887	15040	1897
888	15059	1880
889	15076	1863
890	15094	1846
891	15111	1829
892	15129	1812
893	15147	1795
894	15163	1778
895	15179	1761
896	15195	1744
897	15211	1727
898	15228	1710
899	15249	1694
900	15267	1677
901	15285	1660
902	15302	1643
903	15318	1626
904	15340	1610
905	15358	1593
906	15375	1576
907	15392	1559
908	15408	1542
909	15425	1525
910	15441	1508
911	15463	1492
912	15479	1475
913	15495	1457
914	15513	1441
915	15537	1424
916	15558	1408
917	15579	1391
918	15596	1374
919	15618	1358
920	15634	1341
921	15650	1324
922	15670	1307
923	15686	1290
924	15703	1273
925	15719	1256
926	15736	1239
927	15757	1222
928	15776	1205
929	15792	1188
930	15808	1171
931	15823	1154
932	15840	1137
933	15855	1120
934	15872	1103
935	15888	1086
936	15905	1069
937	15925	1052
938	15943	1035
939	15960	1018
940	15976	1001
941	15992	984
942	16009	967
943	16026	950
944	16044	933
945	16061	916
946	16077	899
947	16093	882
948	16110	865
949	16127	848
950	16143	831
951	16161	814
952	16178	797
953	16192	780
954	16207	763
955	16227	746
956	16244	729
957	16262	712
958	16279	696
959	16296	679
960	16312	661
961	16327	644
962	16343	627
963	16360	610
964	16375	593
965	16391	576
966	16408	559
967	16428	543
968	16446	526
969	16462	509
970	16479	492
971	16501	475
972	16518	458
973	16541	441
974	16557	424
975	16573	407
976	16589	390
977	16606	373
978	16621	356
979	16643	339
980	16658	322
981	16675	305
982	16691	288
983	16707	271
984	16724	254
985	16741	237
986	16757	220
987	16774	203
988	16790	186
989	16809	169
990	16825	152
991	16842	135
992	16859	118
993	16876	101
994	16892	84
995	16909	67
996	16930	50
997	16946	33
998	16972	16
999	16989	0
